,gene_ids
ALCAM,ENSG00000170017
CBLB,ENSG00000114423
DZIP3,ENSG00000198919
NECTIN3,ENSG00000177707
CD96,ENSG00000153283
PLCXD2,ENSG00000240891
PHLDB2,ENSG00000144824
GCSAM,ENSG00000174500
SLC9C1,ENSG00000172139
CFAP44,ENSG00000206530
ATP6V1A,ENSG00000114573
GRAMD1C,ENSG00000178075
AC093010.2,ENSG00000241490
ZNF80,ENSG00000174255
TIGIT,ENSG00000181847
ZBTB20-AS5,ENSG00000242290
AC026341.1,ENSG00000242880
AC068633.1,ENSG00000243276
IGSF11,ENSG00000144847
ARHGAP31,ENSG00000031081
TMEM39A,ENSG00000176142
CD80,ENSG00000121594
POPDC2,ENSG00000121577
LRRC58,ENSG00000163428
IQCB1,ENSG00000173226
CD86,ENSG00000114013
CSTA,ENSG00000121552
SLC49A4,ENSG00000138463
SEC22A,ENSG00000121542
HACD2,ENSG00000206527
SNX4,ENSG00000114520
LINC02614,ENSG00000241288
MGLL,ENSG00000074416
SEC61A1,ENSG00000058262
EEFSEC,ENSG00000132394
RPN1,ENSG00000163902
AC108673.3,ENSG00000273437
COPG1,ENSG00000181789
H1FX,ENSG00000184897
EFCAB12,ENSG00000172771
PLXND1,ENSG00000004399
ALG1L2,ENSG00000251287
PIK3R4,ENSG00000196455
ATP2C1,ENSG00000017260
ASTE1,ENSG00000034533
NEK11,ENSG00000114670
DNAJC13,ENSG00000138246
ACAD11,ENSG00000240303
NPHP3,ENSG00000113971
BFSP2,ENSG00000170819
TOPBP1,ENSG00000163781
PPP2R3A,ENSG00000073711
NCK1-DT,ENSG00000239213
NME9,ENSG00000181322
CEP70,ENSG00000114107
PIK3CB,ENSG00000051382
AC046134.2,ENSG00000248932
TFDP2,ENSG00000114126
GK5,ENSG00000175066
ATR,ENSG00000175054
CHST2,ENSG00000175040
SLC9A9,ENSG00000181804
DIPK2A,ENSG00000181744
PLSCR1,ENSG00000188313
GYG1,ENSG00000163754
HLTF,ENSG00000071794
WWTR1,ENSG00000018408
COMMD2,ENSG00000114744
ANKUB1,ENSG00000206199
PFN2,ENSG00000070087
P2RY14,ENSG00000174944
RAP2B,ENSG00000181467
C3orf33,ENSG00000174928
AC104472.4,ENSG00000286585
GMPS,ENSG00000163655
AC091607.2,ENSG00000287916
LINC02029,ENSG00000241544
AC092944.1,ENSG00000243176
PTX3,ENSG00000163661
RSRC1,ENSG00000174891
AC106707.1,ENSG00000243150
MLF1,ENSG00000178053
GFM1,ENSG00000168827
LXN,ENSG00000079257
MFSD1,ENSG00000118855
SMC4,ENSG00000113810
PPM1L,ENSG00000163590
LINC01322,ENSG00000244128
GPR160,ENSG00000173890
PRKCI,ENSG00000163558
TNIK,ENSG00000154310
PLD1,ENSG00000075651
FNDC3B,ENSG00000075420
NCEH1,ENSG00000144959
NAALADL2,ENSG00000177694
KCNMB2-AS1,ENSG00000237978
PIK3CA,ENSG00000121879
GNB4,ENSG00000114450
USP13,ENSG00000058056
SOX2-OT,ENSG00000242808
MCCC1,ENSG00000078070
LAMP3,ENSG00000078081
MCF2L2,ENSG00000053524
B3GNT5,ENSG00000176597
KLHL6,ENSG00000172578
ABCF3,ENSG00000161204
EIF4G1,ENSG00000114867
POLR2H,ENSG00000163882
VPS8,ENSG00000156931
IGF2BP2,ENSG00000073792
DGKG,ENSG00000058866
ST6GAL1,ENSG00000073849
BCL6,ENSG00000113916
LPP,ENSG00000145012
TPRG1,ENSG00000188001
IL1RAP,ENSG00000196083
OPA1-AS1,ENSG00000224855
HES1,ENSG00000114315
ATP13A3,ENSG00000133657
LINC00884,ENSG00000233058
TMEM44-AS1,ENSG00000231770
LSG1,ENSG00000041802
ACAP2,ENSG00000114331
TCTEX1D2,ENSG00000213123
PIGX,ENSG00000163964
CEP19,ENSG00000174007
NCBP2AS2,ENSG00000270170
DLG1,ENSG00000075711
AC024560.5,ENSG00000287286
LMLN,ENSG00000185621
ZNF718,ENSG00000250312
AC092574.2,ENSG00000281016
PIGG,ENSG00000174227
SLC49A3,ENSG00000169026
PCGF3,ENSG00000185619
AC139887.2,ENSG00000249592
IDUA,ENSG00000127415
SPON2,ENSG00000159674
CTBP1,ENSG00000159692
UVSSA,ENSG00000163945
AC147067.1,ENSG00000244459
FAM53A,ENSG00000174137
TMEM129,ENSG00000168936
LETM1,ENSG00000168924
NSD2,ENSG00000109685
C4orf48,ENSG00000243449
MXD4,ENSG00000123933
ZFYVE28,ENSG00000159733
FAM193A,ENSG00000125386
SH3BP2,ENSG00000087266
NOP14-AS1,ENSG00000249673
NOP14,ENSG00000087269
RGS12,ENSG00000159788
TMEM128,ENSG00000132406
LYAR,ENSG00000145220
STX18,ENSG00000168818
S100P,ENSG00000163993
MRFAP1L1,ENSG00000178988
CCDC96,ENSG00000173013
SORCS2,ENSG00000184985
SH3TC1,ENSG00000125089
TRMT44,ENSG00000155275
AC005674.2,ENSG00000261490
CLNK,ENSG00000109684
HS3ST1,ENSG00000002587
AC006230.1,ENSG00000287778
AC005699.1,ENSG00000249631
RAB28,ENSG00000157869
LINC00504,ENSG00000248360
CPEB2,ENSG00000137449
AC098829.1,ENSG00000249252
CC2D2A,ENSG00000048342
BST1,ENSG00000109743
CD38,ENSG00000004468
FGFBP2,ENSG00000137441
LDB2,ENSG00000169744
LAP3,ENSG00000002549
AC006160.1,ENSG00000249502
FAM184B,ENSG00000047662
LCORL,ENSG00000178177
AC024230.1,ENSG00000248515
PI4K2B,ENSG00000038210
ZCCHC4,ENSG00000168228
SEL1L3,ENSG00000091490
RBPJ,ENSG00000168214
TBC1D19,ENSG00000109680
DTHD1,ENSG00000197057
PGM2,ENSG00000169299
TBC1D1,ENSG00000065882
KLF3-AS1,ENSG00000231160
TLR1,ENSG00000174125
TLR6,ENSG00000174130
TMEM156,ENSG00000121895
KLHL5,ENSG00000109790
AC079921.1,ENSG00000249207
WDR19,ENSG00000157796
UGDH,ENSG00000109814
SMIM14,ENSG00000163683
AC108471.2,ENSG00000255458
N4BP2,ENSG00000078177
LINC02265,ENSG00000249241
RBM47,ENSG00000163694
NSUN7,ENSG00000179299
BEND4,ENSG00000188848
ATP8A1,ENSG00000124406
ATP10D,ENSG00000145246
TXK,ENSG00000074966
TEC,ENSG00000135605
DCUN1D4,ENSG00000109184
SCFD2,ENSG00000184178
CLOCK,ENSG00000134852
EXOC1,ENSG00000090989
CEP135,ENSG00000174799
HOPX,ENSG00000171476
IGFBP7,ENSG00000163453
ADGRL3-AS1,ENSG00000248692
STAP1,ENSG00000035720
UBA6-AS1,ENSG00000248049
JCHAIN,ENSG00000132465
AC009570.1,ENSG00000272986
RUFY3,ENSG00000018189
GRSF1,ENSG00000132463
MOB1B,ENSG00000173542
AC053527.2,ENSG00000250220
CXCL8,ENSG00000169429
MTHFD2L,ENSG00000163738
EREG,ENSG00000124882
AREG,ENSG00000109321
PARM1,ENSG00000169116
RCHY1,ENSG00000163743
THAP6,ENSG00000174796
CDKL2,ENSG00000138769
USO1,ENSG00000138768
NAAA,ENSG00000138744
CXCL10,ENSG00000169245
SCARB2,ENSG00000138760
CCNG2,ENSG00000138764
MRPL1,ENSG00000169288
BMP2K,ENSG00000138756
LINC01088,ENSG00000249307
CFAP299,ENSG00000197826
PRKG2,ENSG00000138669
SCD5,ENSG00000145284
THAP9-AS1,ENSG00000251022
LIN54,ENSG00000189308
COQ2,ENSG00000173085
HPSE,ENSG00000173083
MRPS18C,ENSG00000163319
ABRAXAS1,ENSG00000163322
GPAT3,ENSG00000138678
ARHGAP24,ENSG00000138639
MAPK10,ENSG00000109339
PTPN13,ENSG00000163629
NUDT9,ENSG00000170502
PKD2,ENSG00000118762
HERC3,ENSG00000138641
FAM13A,ENSG00000138640
GPRIN3,ENSG00000185477
SNCA,ENSG00000145335
CCSER1,ENSG00000184305
GRID2,ENSG00000152208
SMARCAD1,ENSG00000163104
PDLIM5,ENSG00000163110
STPG2,ENSG00000163116
RAP1GDS1,ENSG00000138698
TSPAN5,ENSG00000168785
METAP1,ENSG00000164024
AP002026.1,ENSG00000246090
DAPP1,ENSG00000070190
PPP3CA,ENSG00000138814
BANK1,ENSG00000153064
AP002075.1,ENSG00000251309
SLC39A8,ENSG00000138821
NFKB1,ENSG00000109320
AC018797.3,ENSG00000286242
SLC9B1,ENSG00000164037
SLC9B2,ENSG00000164038
CENPE,ENSG00000138778
TET2,ENSG00000168769
ARHGEF38,ENSG00000236699
INTS12,ENSG00000138785
GSTCD,ENSG00000138780
AC096564.1,ENSG00000245293
HADH,ENSG00000138796
LEF1,ENSG00000138795
RPL34-AS1,ENSG00000234492
SEC24B-AS1,ENSG00000247950
TIFA,ENSG00000145365
ALPK1,ENSG00000073331
CAMK2D,ENSG00000145349
UGT8,ENSG00000174607
SEC24D,ENSG00000150961
PDE5A,ENSG00000138735
MAD2L1,ENSG00000164109
TNIP3,ENSG00000050730
ANXA5,ENSG00000164111
CCNA2,ENSG00000145386
BBS7,ENSG00000138686
SPATA5,ENSG00000145375
ANKRD50,ENSG00000151458
MFSD8,ENSG00000164073
LINC02615,ENSG00000251432
JADE1,ENSG00000077684
SCLT1,ENSG00000151466
SLC7A11,ENSG00000151012
NOCT,ENSG00000151014
AC097376.3,ENSG00000273247
MGST2,ENSG00000085871
MAML3,ENSG00000196782
ELMOD2,ENSG00000179387
TBC1D9,ENSG00000109436
LINC02432,ENSG00000248810
IL15,ENSG00000164136
INPP4B,ENSG00000109452
AC139720.1,ENSG00000249806
AC104596.1,ENSG00000250326
GAB1,ENSG00000109458
AC107223.1,ENSG00000251600
ANAPC10,ENSG00000164162
ABCE1,ENSG00000164163
TMEM184C,ENSG00000164168
ARHGAP10,ENSG00000071205
NR3C2,ENSG00000151623
AC002460.2,ENSG00000287292
DCLK2,ENSG00000170390
SH3D19,ENSG00000109686
AC095055.1,ENSG00000270681
FAM160A1,ENSG00000164142
FBXW7,ENSG00000109670
AC023424.3,ENSG00000287555
TMEM131L,ENSG00000121210
AC106865.2,ENSG00000287216
TLR2,ENSG00000137462
RNF175,ENSG00000145428
GUCY1A1,ENSG00000164116
GASK1B,ENSG00000164125
PPID,ENSG00000171497
FNIP2,ENSG00000052795
RAPGEF2,ENSG00000109756
MARCH1,ENSG00000145416
TMEM192,ENSG00000170088
KLHL2,ENSG00000109466
MSMO1,ENSG00000052802
DDX60,ENSG00000137628
DDX60L,ENSG00000181381
CBR4,ENSG00000145439
HPF1,ENSG00000056050
GALNTL6,ENSG00000174473
GALNT7,ENSG00000109586
HPGD,ENSG00000164120
GPM6A,ENSG00000150625
SPCS3,ENSG00000129128
DCTD,ENSG00000129187
ACSL1,ENSG00000151726
MIR3945HG,ENSG00000251230
SLC25A4,ENSG00000151729
C4orf47,ENSG00000205129
SORBS2,ENSG00000154556
CYP4V2,ENSG00000145476
FRG1,ENSG00000109536
LPCAT1,ENSG00000153395
MRPL36,ENSG00000171421
NSUN2,ENSG00000037474
SRD5A1,ENSG00000145545
TENT4A,ENSG00000112941
MTRR,ENSG00000124275
MIR4458HG,ENSG00000247516
CCT5,ENSG00000150753
ANKRD33B,ENSG00000164236
TRIO,ENSG00000038382
BASP1,ENSG00000176788
LINC02100,ENSG00000248693
LINC02241,ENSG00000251629
C5orf17,ENSG00000248874
AC008825.1,ENSG00000250453
LINC02109,ENSG00000259786
DROSHA,ENSG00000113360
C5orf22,ENSG00000082213
PDZD2,ENSG00000133401
MTMR12,ENSG00000150712
TARS,ENSG00000113407
C1QTNF3,ENSG00000082196
LMBRD2,ENSG00000164187
CPLANE1,ENSG00000197603
NUP155,ENSG00000113569
WDR70,ENSG00000082068
DAB2,ENSG00000153071
TTC33,ENSG00000113638
PTGER4,ENSG00000171522
C5orf51,ENSG00000205765
CCDC152,ENSG00000198865
AC025171.2,ENSG00000215068
TMEM267,ENSG00000151881
PARP8,ENSG00000151883
ARL15,ENSG00000185305
LINC01033,ENSG00000249069
SNX18,ENSG00000178996
GZMK,ENSG00000113088
GZMA,ENSG00000145649
SLC38A9,ENSG00000177058
MAP3K1,ENSG00000095015
AC008937.2,ENSG00000237705
GAPT,ENSG00000175857
PDE4D,ENSG00000113448
AC092343.1,ENSG00000247345
NDUFAF2,ENSG00000164182
SMIM15-AS1,ENSG00000251279
ZSWIM6,ENSG00000130449
CENPK,ENSG00000123219
AC112206.2,ENSG00000249364
AC106798.1,ENSG00000250421
AC146944.4,ENSG00000269983
SMN1,ENSG00000172062
NAIP,ENSG00000249437
GTF2H2,ENSG00000145736
MRPS27,ENSG00000113048
FCHO2,ENSG00000157107
HEXB,ENSG00000049860
GFM2,ENSG00000164347
FAM169A,ENSG00000198780
AC116337.3,ENSG00000249856
GCNT4,ENSG00000176928
HMGCR,ENSG00000113161
POC5,ENSG00000152359
IQGAP2,ENSG00000145703
F2R,ENSG00000181104
SCAMP1,ENSG00000085365
ARSB,ENSG00000113273
HOMER1,ENSG00000152413
SERINC5,ENSG00000164300
ZFYVE16,ENSG00000039319
AC008771.1,ENSG00000249042
RASGRF2,ENSG00000113319
ZCCHC9,ENSG00000131732
SSBP2,ENSG00000145687
ATG10,ENSG00000152348
XRCC4,ENSG00000152422
VCAN,ENSG00000038427
CCNH,ENSG00000134480
AC018754.1,ENSG00000285190
TMEM161B,ENSG00000164180
TMEM161B-AS1,ENSG00000247828
MEF2C,ENSG00000081189
MEF2C-AS1,ENSG00000248309
LUCAT1,ENSG00000248323
KIAA0825,ENSG00000185261
MCTP1,ENSG00000175471
TTC37,ENSG00000198677
GLRX,ENSG00000173221
ELL2,ENSG00000118985
AC104123.1,ENSG00000251314
LIX1-AS1,ENSG00000251513
LIX1,ENSG00000145721
LINC01340,ENSG00000250331
LINC02234,ENSG00000248202
LINC02062,ENSG00000248489
SLCO4C1,ENSG00000173930
PAM,ENSG00000145730
EFNA5,ENSG00000184349
FBXL17,ENSG00000145743
AC008462.1,ENSG00000286503
FER,ENSG00000151422
AC008467.1,ENSG00000249476
CAMK4,ENSG00000152495
AC010275.1,ENSG00000248268
STARD4-AS1,ENSG00000246859
EPB41L4A,ENSG00000129595
APC,ENSG00000134982
MCC,ENSG00000171444
AC010226.1,ENSG00000249249
AP3S1,ENSG00000177879
COMMD10,ENSG00000145781
DMXL1,ENSG00000172869
ZNF608,ENSG00000168916
LINC02240,ENSG00000260192
AC093535.1,ENSG00000250602
LMNB1-DT,ENSG00000251072
LMNB1,ENSG00000113368
MARCH3,ENSG00000173926
PRRC1,ENSG00000164244
LINC01184,ENSG00000245937
ISOC1,ENSG00000066583
CDC42SE2,ENSG00000158985
RAPGEF6,ENSG00000158987
FNIP1,ENSG00000217128
MEIKIN,ENSG00000239642
SLC22A4,ENSG00000197208
C5orf15,ENSG00000113583
CDKL3,ENSG00000006837
CDKN2AIPNL,ENSG00000237190
AC005355.1,ENSG00000250994
SEC24A,ENSG00000113615
C5orf24,ENSG00000181904
TGFBI,ENSG00000120708
KLHL3,ENSG00000146021
AC106791.1,ENSG00000250159
FAM13B,ENSG00000031003
BRD8,ENSG00000112983
CDC23,ENSG00000094880
EGR1,ENSG00000120738
CTNNA1,ENSG00000044115
AC011405.1,ENSG00000249593
AC135457.1,ENSG00000272742
DNAJC18,ENSG00000170464
NRG2,ENSG00000158458
PFDN1,ENSG00000113068
HBEGF,ENSG00000113070
AC008438.1,ENSG00000249637
APBB3,ENSG00000113108
CD14,ENSG00000170458
WDR55,ENSG00000120314
ZMAT2,ENSG00000146007
AC008781.2,ENSG00000246422
HDAC3,ENSG00000171720
RELL2,ENSG00000164620
FCHSD1,ENSG00000197948
DELE1,ENSG00000081791
ARHGAP26,ENSG00000145819
KCTD16,ENSG00000183775
PRELID2,ENSG00000186314
LARS,ENSG00000133706
PPP2R2B,ENSG00000156475
JAKMIP2,ENSG00000176049
FBXO38,ENSG00000145868
ADRB2,ENSG00000169252
ARHGEF37,ENSG00000183111
SLC26A2,ENSG00000155850
CSF1R,ENSG00000182578
TCOF1,ENSG00000070814
CD74,ENSG00000019582
IRGM,ENSG00000237693
GM2A,ENSG00000196743
ATOX1,ENSG00000177556
GALNT10,ENSG00000164574
SAP30L-AS1,ENSG00000245275
FAXDC2,ENSG00000170271
SGCD,ENSG00000170624
HAVCR1,ENSG00000113249
HAVCR2,ENSG00000135077
AC010609.1,ENSG00000253980
ADAM19,ENSG00000135074
EBF1,ENSG00000164330
PTTG1,ENSG00000164611
AC113414.1,ENSG00000254186
PANK3,ENSG00000120137
INSYN2B,ENSG00000204767
LCP2,ENSG00000043462
STK10,ENSG00000072786
UBTD2,ENSG00000168246
AC022217.2,ENSG00000253295
RPL26L1,ENSG00000037241
BNIP1,ENSG00000113734
CPEB4,ENSG00000113742
SFXN1,ENSG00000164466
HRH2,ENSG00000113749
FAM153B,ENSG00000182230
SIMC1,ENSG00000170085
KIAA1191,ENSG00000122203
RAB24,ENSG00000169228
PRELID1,ENSG00000169230
PRR7,ENSG00000131188
DOK3,ENSG00000146094
B4GALT7,ENSG00000027847
AC139795.2,ENSG00000247679
FAM153A,ENSG00000170074
FAM153CP,ENSG00000204677
AC136604.2,ENSG00000244945
MRNIP,ENSG00000161010
RNF130,ENSG00000113269
MAPK9,ENSG00000050748
MGAT1,ENSG00000131446
LINC00847,ENSG00000245060
TRIM41,ENSG00000146063
AL365272.1,ENSG00000287265
AL357054.4,ENSG00000272463
GMDS,ENSG00000112699
GMDS-DT,ENSG00000250903
SERPINB1,ENSG00000021355
BPHL,ENSG00000137274
TUBB2A,ENSG00000137267
PSMG4,ENSG00000180822
SLC22A23,ENSG00000137266
AL033523.1,ENSG00000228793
LY86,ENSG00000112799
RIOK1,ENSG00000124784
BLOC1S5,ENSG00000188428
SLC35B3,ENSG00000124786
HULC,ENSG00000285219
GCNT2,ENSG00000111846
TMEM14C,ENSG00000111843
AL139807.1,ENSG00000247925
NEDD9,ENSG00000111859
TMEM170B,ENSG00000205269
PHACTR1,ENSG00000112137
TBC1D7,ENSG00000145979
GFOD1,ENSG00000145990
SIRT5,ENSG00000124523
CD83,ENSG00000112149
AL133259.1,ENSG00000285639
JARID2,ENSG00000008083
ATXN1,ENSG00000124788
KIF13A,ENSG00000137177
KDM1B,ENSG00000165097
RNF144B,ENSG00000137393
MBOAT1,ENSG00000172197
E2F3,ENSG00000112242
CDKAL1,ENSG00000145996
AL513188.1,ENSG00000233848
SOX4,ENSG00000124766
ACOT13,ENSG00000112304
LINC02828,ENSG00000224164
CARMIL1,ENSG00000079691
HIST1H3A,ENSG00000275714
HIST1H2BB,ENSG00000276410
HFE,ENSG00000010704
HIST1H2AC,ENSG00000180573
HIST1H2BD,ENSG00000158373
AL353759.1,ENSG00000283064
HIST1H2BE,ENSG00000274290
HIST1H2BF,ENSG00000277224
HIST1H4E,ENSG00000276966
HIST1H2AE,ENSG00000277075
BTN2A1,ENSG00000112763
HIST1H2BJ,ENSG00000124635
HIST1H4I,ENSG00000276180
HIST1H2BK,ENSG00000197903
ZNF391,ENSG00000124613
AL021918.5,ENSG00000286652
HIST1H2BN,ENSG00000233822
HIST1H2AL,ENSG00000276903
HIST1H1B,ENSG00000184357
HIST1H3I,ENSG00000275379
ZSCAN16-AS1,ENSG00000269293
AL121944.1,ENSG00000272009
ZNF165,ENSG00000197279
TRIM27,ENSG00000204713
GABBR1,ENSG00000204681
HCG17,ENSG00000270604
HCG18,ENSG00000231074
RPP21,ENSG00000241370
PRR3,ENSG00000204576
DHX16,ENSG00000204560
PPP1R18,ENSG00000146112
MDC1,ENSG00000137337
IER3,ENSG00000137331
GTF2H4,ENSG00000213780
VARS2,ENSG00000137411
LTA,ENSG00000226979
TNF,ENSG00000232810
LST1,ENSG00000204482
NCR3,ENSG00000204475
AIF1,ENSG00000204472
APOM,ENSG00000204444
LY6G5B,ENSG00000240053
ABHD16A,ENSG00000204427
DDAH2,ENSG00000213722
CLIC1,ENSG00000213719
MSH5,ENSG00000204410
VARS,ENSG00000204394
HSPA1A,ENSG00000204389
HSPA1B,ENSG00000204388
NEU1,ENSG00000204386
STK19,ENSG00000204344
AGPAT1,ENSG00000204310
AGER,ENSG00000204305
TSBP1-AS1,ENSG00000225914
HLA-DRA,ENSG00000204287
HLA-DRB5,ENSG00000198502
HLA-DRB1,ENSG00000196126
HLA-DQA1,ENSG00000196735
HLA-DQB1,ENSG00000179344
HLA-DQA2,ENSG00000237541
TAP2,ENSG00000204267
HLA-DMB,ENSG00000242574
HLA-DMA,ENSG00000204257
HLA-DPA1,ENSG00000231389
HLA-DPB1,ENSG00000223865
RXRB,ENSG00000204231
SLC39A7,ENSG00000112473
VPS52,ENSG00000223501
B3GALT4,ENSG00000235863
SYNGAP1,ENSG00000197283
LEMD2,ENSG00000161904
AL354740.1,ENSG00000225339
RPS10-NUDT3,ENSG00000270800
AL451165.2,ENSG00000272288
ANKS1A,ENSG00000064999
FANCE,ENSG00000112039
FKBP5,ENSG00000096060
SRPK1,ENSG00000096063
MAPK13,ENSG00000156711
Z84485.1,ENSG00000246982
BRPF3,ENSG00000096070
CDKN1A,ENSG00000124762
PPIL1,ENSG00000137168
FGD2,ENSG00000146192
TBC1D22B,ENSG00000065491
RNF8,ENSG00000112130
AL121574.1,ENSG00000225945
ZFAND3,ENSG00000156639
BTBD9,ENSG00000183826
OARD1,ENSG00000124596
TREM1,ENSG00000124731
BYSL,ENSG00000112578
GUCA1B,ENSG00000112599
TRERF1,ENSG00000124496
AL035587.2,ENSG00000287825
PEX6,ENSG00000124587
SRF,ENSG00000112658
MRPS18A,ENSG00000096080
VEGFA,ENSG00000112715
SLC35B2,ENSG00000157593
NFKBIE,ENSG00000146232
RUNX2,ENSG00000124813
MMUT,ENSG00000146085
ICK,ENSG00000112144
FBXO9,ENSG00000112146
ELOVL5,ENSG00000012660
GCLC,ENSG00000001084
KIAA1586,ENSG00000168116
PRIM2,ENSG00000146143
KHDRBS2,ENSG00000112232
EYS,ENSG00000188107
COL19A1,ENSG00000082293
AL160262.1,ENSG00000253809
FAM135A,ENSG00000082269
SDHAF4,ENSG00000154079
KCNQ5,ENSG00000185760
OOEP,ENSG00000203907
CGAS,ENSG00000164430
MTO1,ENSG00000135297
SLC17A5,ENSG00000119899
CD109,ENSG00000156535
MYO6,ENSG00000196586
IRAK1BP1,ENSG00000146243
BCKDHB,ENSG00000083123
TENT5A,ENSG00000112773
UBE3D,ENSG00000118420
ME1,ENSG00000065833
SNX14,ENSG00000135317
SMIM8,ENSG00000111850
SLC35A1,ENSG00000164414
AL353135.1,ENSG00000271931
LYRM2,ENSG00000083099
MDN1,ENSG00000112159
BACH2,ENSG00000112182
AL132996.1,ENSG00000260271
MANEA,ENSG00000172469
UFL1-AS1,ENSG00000233797
KLHL32,ENSG00000186231
FBXL4,ENSG00000112234
TSTD3,ENSG00000279170
PREP,ENSG00000085377
AL096794.1,ENSG00000286084
PRDM1,ENSG00000057657
RTN4IP1,ENSG00000130347
CD24,ENSG00000272398
PDSS2,ENSG00000164494
SCML4,ENSG00000146285
AFG1L,ENSG00000135537
FOXO3,ENSG00000118689
ARMC2,ENSG00000118690
CEP57L1,ENSG00000183137
PPIL6,ENSG00000185250
CDC40,ENSG00000168438
CDK19,ENSG00000155111
GTF3C6,ENSG00000155115
RPF2,ENSG00000197498
SLC16A10,ENSG00000112394
MFSD4B,ENSG00000173214
TRAF3IP2,ENSG00000056972
FAM229B,ENSG00000203778
MARCKS,ENSG00000277443
CALHM6,ENSG00000188820
Z99496.2,ENSG00000286339
MCM9,ENSG00000111877
MAN1A1,ENSG00000111885
TBC1D32,ENSG00000146350
PKIB,ENSG00000135549
NCOA7,ENSG00000111912
NCOA7-AS1,ENSG00000232131
HINT3,ENSG00000111911
TRMT11,ENSG00000066651
CENPW,ENSG00000203760
RNF146,ENSG00000118518
ECHDC1,ENSG00000093144
THEMIS,ENSG00000172673
PTPRK,ENSG00000152894
SAMD3,ENSG00000164483
EPB41L2,ENSG00000079819
MOXD1,ENSG00000079931
VNN2,ENSG00000112303
SLC18B1,ENSG00000146409
SGK1,ENSG00000118515
LINC01010,ENSG00000236700
AHI1,ENSG00000135541
LINC00271,ENSG00000231028
PDE7B,ENSG00000171408
MAP3K5,ENSG00000197442
AL024508.1,ENSG00000234263
AL121933.2,ENSG00000286646
PEX7,ENSG00000112357
TNFAIP3,ENSG00000118503
AL591468.2,ENSG00000287393
HEBP2,ENSG00000051620
GVQW2,ENSG00000279968
TXLNB,ENSG00000164440
AL592429.2,ENSG00000226571
VTA1,ENSG00000009844
ADAT2,ENSG00000189007
PEX3,ENSG00000034693
FUCA2,ENSG00000001036
PHACTR2,ENSG00000112419
STX11,ENSG00000135604
EPM2A,ENSG00000112425
AL356599.1,ENSG00000235652
SHPRH,ENSG00000146414
RAB32,ENSG00000118508
STXBP5-AS1,ENSG00000233452
STXBP5,ENSG00000164506
UST,ENSG00000111962
ZC3H12D,ENSG00000178199
KATNA1,ENSG00000186625
NUP43,ENSG00000120253
PCMT1,ENSG00000120265
PLEKHG1,ENSG00000120278
AL450344.3,ENSG00000232891
MTHFD1L,ENSG00000120254
ZBTB2,ENSG00000181472
ARMT1,ENSG00000146476
ESR1,ENSG00000091831
SYNE1,ENSG00000131018
MTRF1L,ENSG00000112031
OPRM1,ENSG00000112038
NOX3,ENSG00000074771
AL589693.1,ENSG00000287092
ZDHHC14,ENSG00000175048
SNX9,ENSG00000130340
AL035634.1,ENSG00000236324
TMEM181,ENSG00000146433
SYTL3,ENSG00000164674
RSPH3,ENSG00000130363
AL035530.2,ENSG00000271913
AL356417.3,ENSG00000285492
SOD2,ENSG00000112096
IGF2R,ENSG00000197081
MAP3K4,ENSG00000085511
AGPAT4,ENSG00000026652
PRKN,ENSG00000185345
QKI,ENSG00000112531
SFT2D1,ENSG00000198818
RPS6KA2,ENSG00000071242
Z94721.1,ENSG00000227598
FGFR1OP,ENSG00000213066
CCR6,ENSG00000112486
WDR27,ENSG00000184465
AL354892.1,ENSG00000227704
FAM20C,ENSG00000177706
AC147651.4,ENSG00000237181
ADAP1,ENSG00000105963
ZFAND2A,ENSG00000178381
MAFK,ENSG00000198517
PSMG3,ENSG00000157778
PSMG3-AS1,ENSG00000230487
MAD1L1,ENSG00000002822
MRM2,ENSG00000122687
SNX8,ENSG00000106266
CHST12,ENSG00000136213
BRAT1,ENSG00000106009
TTYH3,ENSG00000136295
AMZ1,ENSG00000174945
GNA12,ENSG00000146535
SDK1,ENSG00000146555
ACTB,ENSG00000075624
AIMP2,ENSG00000106305
RAC1,ENSG00000136238
DAGLB,ENSG00000164535
ZNF316,ENSG00000205903
AC073343.2,ENSG00000228010
ZNF12,ENSG00000164631
UMAD1,ENSG00000219545
GLCCI1,ENSG00000106415
AC011287.1,ENSG00000229618
CRPPA,ENSG00000214960
ANKMY2,ENSG00000106524
BZW2,ENSG00000136261
AHR,ENSG00000106546
HDAC9,ENSG00000048052
AC005062.1,ENSG00000243004
MACC1,ENSG00000183742
RAPGEF5,ENSG00000136237
STEAP1B,ENSG00000105889
IL6,ENSG00000136244
FAM126A,ENSG00000122591
MALSU1,ENSG00000156928
FAM221A,ENSG00000188732
MPP6,ENSG00000105926
GSDME,ENSG00000105928
OSBPL3,ENSG00000070882
NFE2L3,ENSG00000050344
SNX10,ENSG00000086300
SKAP2,ENSG00000005020
HOTAIRM1,ENSG00000233429
HIBADH,ENSG00000106049
JAZF1,ENSG00000153814
JAZF1-AS1,ENSG00000234336
CREB5,ENSG00000146592
CPVL,ENSG00000106066
CHN2,ENSG00000106069
FKBP14,ENSG00000106080
MTURN,ENSG00000180354
LINC01176,ENSG00000281404
GARS-DT,ENSG00000196295
AVL9,ENSG00000105778
AC018647.1,ENSG00000227544
EEPD1,ENSG00000122547
AOAH,ENSG00000136250
ELMO1-AS1,ENSG00000224101
