0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
CENPT	2.5133343930534955e-07	AL392023.2	6.429880469846974e-08	OASL	1.2694824327348627e-09	AC020656.1	6.827031542165242e-07	BUB1	9.781317519499153e-51	FPR1	2.0581301632934416e-09	KCNA3	0.00346352467099985	AC079807.1	5.942664334984152e-15	FLYWCH2	8.799298383998346e-30	PDPK1	1.9262386258979767e-09	IFT52	2.462045749146841e-15	AC146944.4	5.6616640295791536e-08	EXT1	0.0005520506709902306	ZNF85	1.1392226123941599e-10	DHCR7	8.008443878903466e-25	MYO6	4.4725105460615864e-14	RFK	0.001072990287585893	SHC1	0.003195352049780852	VPREB3	0.00010747888649768023
CNTNAP4	2.5358898787046136e-07	SERPINA1	6.433529372616218e-08	GPR137B	1.2811516244428374e-09	MLC1	6.998566567731556e-07	ANKMY2	1.0772742302982156e-50	LINC02614	2.098442717378337e-09	INIP	0.003476284532770544	XCL1	6.0549724870158806e-15	PFAS	9.295084297605507e-30	SLC35E2A	1.9364135390465718e-09	CTSB	2.467741868282201e-15	LINC00892	5.789075541570134e-08	PBX3	0.0005751913326768591	LACTB2-AS1	1.16587538519855e-10	HOMER2	8.747237764651882e-25	HPSE	4.7628729660545e-14	TBK1	0.0010737087483894386	SIK1	0.0032256669061102748	SEC61A1	0.00010812582814378033
N6AMT1	2.587017268223351e-07	SLC16A6	6.777950336394871e-08	ZCCHC14	1.2907371057111012e-09	CASP1	7.379629250083339e-07	ENPP2	1.1087354614908417e-50	KIF18A	2.1014592435479135e-09	TMOD2	0.0035155007679145765	LINC00612	6.084872849447999e-15	HELLS	1.0033185896542432e-29	PTPN13	1.938114441181568e-09	FBXO11	2.51959440647715e-15	INIP	5.883936511136671e-08	GEN1	0.0005769280130232075	C18orf21	1.1787804700920727e-10	KYAT3	8.77878608163094e-25	PSD4	4.886929879191435e-14	CALHM6	0.00107658704388152	FGL2	0.003369006121935241	ZFP14	0.00010812582814378033
CYBB	2.689453480087621e-07	AC009570.1	6.835773604554425e-08	TG	1.2911744664620441e-09	DAPK2	7.52112493489228e-07	LDAH	1.1276676451116828e-50	RNF144B	2.1349210958495107e-09	GBP1	0.0035195805102127796	LINC01811	6.18762528689838e-15	SLC4A10	1.09549300122564e-29	NFATC2	2.028595811682369e-09	RIOX1	2.5400477491891543e-15	GPATCH11	5.904098300118389e-08	ETV6	0.0005807659095679532	FKTN	1.1984002934250725e-10	SHC1	8.922154347225472e-25	CHN2	4.992733190368455e-14	IFI44	0.001090721216081576	PCYOX1	0.0033714434929319023	MCC	0.00010943074964548391
TNFSF13	2.7335205496519794e-07	SLC29A3	6.851273668281778e-08	CLEC10A	1.2929253545555394e-09	NAT14	7.740503876478367e-07	AC245060.5	1.1704589596424289e-50	CDCA4	2.13952410182219e-09	SPAG16	0.003525026867885984	DPY19L3	6.4615703004548364e-15	GAPT	1.1455077951044579e-29	PLCG1	2.0321568133759944e-09	METTL2B	2.5725195060282852e-15	TMEM42	5.980302905073474e-08	RGS7	0.0005881588925507404	FKBP4	1.205010890999887e-10	PCID2	9.885577400746101e-25	SORBS1	5.2185809697111093e-14	SORD	0.001119879341138266	DNASE2	0.0033910003384603283	ZNF26	0.00010943074964548391
SLC29A3	2.783382845189924e-07	POLA1	6.909702696203554e-08	TRIM35	1.2999520804420133e-09	MMP23B	8.321021007397647e-07	DEPDC5	1.2210507990755667e-50	BLM	2.1892283304951517e-09	SNAP29	0.003537309220810734	SKAP1-AS1	6.655160176852265e-15	PCBD1	1.1571113920402947e-29	PGS1	2.0918001250385497e-09	PDIA4	2.6265389910296485e-15	CASP1	6.119879602609736e-08	MFAP1	0.0005924226942445032	AL117381.1	1.2536707497077747e-10	FAM13A	9.93904553748547e-25	AC104530.1	5.226031190274128e-14	SNAP29	0.0011455528689936088	ADHFE1	0.0034020463994276647	RMDN1	0.00010964967586085355
PDE6D	2.795801974987268e-07	DKK3	7.217318813948092e-08	GPR89A	1.3070160271989233e-09	AC135507.1	8.397671336674366e-07	COPG1	1.2803022592098376e-50	ZNF646	2.2903920247793535e-09	APC	0.003570252754645481	AL392023.2	6.720950094286023e-15	AC046134.2	1.182370480345266e-29	SH3GLB2	2.10466922847184e-09	POLR1A	2.7253453005459794e-15	AC008269.1	6.177644567232132e-08	ABCA5	0.0005931361190472141	RSAD1	1.278715682533649e-10	AC022146.2	9.9928001841736e-25	BID	5.3314388837717347e-14	MEF2A	0.0011593639485016352	LINC01483	0.0034180596596406826	AL591468.2	0.00010986901523734883
LINC02432	2.8296755876257437e-07	IFIT3	7.25412818923521e-08	LDLRAD4	1.3176821562395965e-09	ZNF557	8.402484492707304e-07	LAMTOR5-AS1	1.293366748187861e-50	CPPED1	2.291212845398922e-09	MKLN1	0.003578532129565706	CXCR5	6.727564187780053e-15	CFAP298	1.1840737428321758e-29	AC025171.2	2.1399896775536766e-09	EIF3J-DT	2.7601481751901076e-15	IFITM3	6.424982976765753e-08	DHRSX	0.0006021216667507254	BRAF	1.3259076056160185e-10	BOLA2B	1.0321430489987077e-24	AL020996.1	5.790847315717928e-14	GATD3B	0.001164776360152229	IFFO1	0.0034180596596406826	SLC39A9	0.00011008876850248446
TP53I13	2.959879854666003e-07	NISCH	7.478832833241475e-08	AC067945.4	1.3185748204392092e-09	NOTCH1	8.538336637688425e-07	MS4A6A	1.326611557316523e-50	KDM1B	2.299436826912192e-09	CRLS1	0.003707688627050368	OTUD6B	6.740811600294274e-15	ZNF836	1.324710553067686e-29	ISCA2	2.1950157205485784e-09	Z95331.1	2.827809590167949e-15	MST1	6.913379439396913e-08	RSRC1	0.0006189869408760654	TMEM101	1.342013288361225e-10	DRG2	1.0489738511739779e-24	HIST1H4I	5.823927712775292e-14	FAM207A	0.001169434145380373	AL358790.1	0.003440345150431167	SUGP1	0.00011119376870322308
VPS13B-DT	2.9894164804460777e-07	CORO2A	7.593698669390701e-08	MIR4435-2HG	1.3347439437092574e-09	ARHGAP21	8.721103115272799e-07	PPM1L	1.419482277068699e-50	TIAM1	2.3418284301888654e-09	BOLA2	0.0037105428540604697	MSS51	6.84098896534021e-15	GIHCG	1.324710553067686e-29	EPS8L2	2.2731807746970766e-09	KIAA1586	2.844158650409815e-15	LINC00653	7.456620319726817e-08	ANKRD33B	0.0006287128763516445	HTRA2	1.3523617432531842e-10	APBA3	1.0584414980380089e-24	VPS11	5.832226798683284e-14	IFITM2	0.001174109137508558	AC010226.1	0.0034752744546303078	KIN	0.00011186178230532881
LINC01137	3.094244996985959e-07	AC010168.1	7.649612027538125e-08	ARHGEF40	1.3593606005874533e-09	ARHGAP35	9.129240721254806e-07	AL450992.3	1.4388189919295994e-50	AC016074.2	2.373058603423075e-09	BDNF-AS	0.0037105428540604697	ZNF561	6.8477193138110526e-15	FUZ	1.3851005268955097e-29	AL356512.1	2.395535803763768e-09	RELL2	3.06889018810841e-15	AC116337.3	7.501058572006668e-08	ANKIB1	0.0006351488095036686	ZNF880	1.3725401799641513e-10	ING1	1.10309468161521e-24	S100A12	6.182685919579355e-14	TXNDC9	0.0011961549752727242	MIEF1	0.0034777817127491623	TSC22D1	0.00011208529350101574
NMUR1	3.1120580001315617e-07	LINC00612	7.653929531412298e-08	ARID5B	1.3612015586735974e-09	AHNAK	9.8207743005937e-07	OAZ2	1.4683168572144994e-50	KIF26B	2.4012545173864828e-09	NAA80	0.003711970716487257	CMTR2	6.96998606547823e-15	MIR99AHG	1.4011235335486484e-29	AC073896.2	2.403917048746077e-09	CYSLTR1	3.0795104691960116e-15	FADS2	7.642397822973893e-08	RHBDF2	0.0006493688479749149	ZFYVE9	1.3899610676454874e-10	IL23A	1.1704404688530643e-24	PSTPIP2	6.819788512258734e-14	SFT2D3	0.0012364762611162747	ABCB8	0.003510526213013708	RNF141	0.00011208529350101574
SIK1	3.1324202364761386e-07	S1PR5	7.939686871834922e-08	SOX2-OT	1.3736917450126166e-09	PTGER4	1.012739995767723e-06	AL513188.1	1.498416748055509e-50	VPS18	2.453358112739013e-09	RIF1	0.003732013306641634	LINC00299	7.094400930136071e-15	PAM16	1.4173304597639897e-29	CMTM3	2.429232514049576e-09	LIN7C	3.1151734358622284e-15	AL135818.1	7.95304334579088e-08	WDR70	0.0006517025101454055	MTERF1	1.4083697508155245e-10	HOXB2	1.4463104372547365e-24	ATP6V1B2	7.146885760352303e-14	PIDD1	0.001258768113317049	SLC7A7	0.00355376920549653	PPFIBP2	0.0001123092259254557
NOTCH1	3.275187230264995e-07	CLEC7A	7.980058609855465e-08	ZWILCH	1.3769481337409717e-09	AC091607.2	1.0237462348521681e-06	AC026461.3	1.5009526286843898e-50	MIR22HG	2.4789346440489468e-09	AC079305.3	0.0037334486775486937	GAS2L3	7.136356305598049e-15	FKBP14	1.4503044720371528e-29	LINC00653	2.45480757044704e-09	HPF1	3.5029770645829475e-15	RMI2	7.993569723368987e-08	MAP3K5	0.0006536531839731426	CDC37L1-DT	1.4099145184210573e-10	TRAF3IP2	1.657157119014336e-24	KLRC2	7.457600569223471e-14	LY6G5B	0.0012637719850175798	FBXO41	0.0035614504349385993	JCHAIN	0.0001123092259254557
STEAP1B	3.302592703557719e-07	DOCK8-AS1	8.038724491109989e-08	AC073529.1	1.4407551811606305e-09	C19orf47	1.0249114610764408e-06	CD302	1.6527868736379292e-50	PDGFD	2.5101488631824967e-09	ELOVL5	0.0037463896152690216	KIF13A	7.16446212912409e-15	RNF6	1.6292838388892163e-29	CEP57L1	2.4666169343763364e-09	THEM6	3.580294567337237e-15	DHRS11	8.736011301654003e-08	SPECC1L	0.0006563932505475787	PCYT2	1.4827921959739392e-10	CDK2AP2	1.871462542644016e-24	AC068389.3	7.78158455998275e-14	LIMD1	0.0012967473813882762	C2orf49	0.003613045802724929	AL365272.1	0.00011275835742396721
CYP2D6	3.338898519194386e-07	AC015853.3	8.065941709650679e-08	AL390774.2	1.480213228270346e-09	GZMA	1.0496781561822146e-06	TICAM1	1.663998840262155e-50	AC021851.2	2.5281570836969596e-09	VPS13B-DT	0.003747830011136281	AC106791.1	7.199747655468317e-15	TMEM101	1.6839868533487313e-29	C19orf73	2.4676932525714063e-09	NSL1	3.8268587964529905e-15	TMEM120B	8.743393443378242e-08	PRCP	0.0006670624433395193	HPF1	1.5764931891405241e-10	MFSD1	2.0354118839130997e-24	PPCDC	8.447666367144281e-14	CHCHD1	0.0013036089682730769	ENG	0.003628656449197148	RASGRP3	0.00011298355798271407
CCNG2	3.40380541495408e-07	AC090644.1	8.075033930170599e-08	CLEC4A	1.5156014703781106e-09	AL117379.1	1.1160373787265222e-06	AC139795.2	1.6752865269112378e-50	MAFK	2.5317737970072562e-09	RASSF2	0.003751433203288231	TXLNA	7.249434908429974e-15	RHOT1	1.7405119346495857e-29	ZSCAN25	2.48389302266776e-09	SMIM12	3.875472038418353e-15	MRPL23	9.731682998599118e-08	ANKS1A	0.0006726578841968153	AC005842.1	1.6201691853603208e-10	PSMG3	2.1207499657694646e-24	AFF2	8.507643932875351e-14	AGPAT1	0.001343717641361843	IFITM2	0.003654810554539223	PRCC	0.00011366170783013432
HARBI1	3.4091211897039044e-07	WDR63	8.152719566315938e-08	TANK	1.5238052491288858e-09	AC244197.2	1.12301835345763e-06	LINC02029	1.7713663118003054e-50	ABCD4	2.5372083171292297e-09	CMAS	0.003766601018465864	DMXL2	7.313814697321712e-15	LRRN3	1.788623578214932e-29	C1orf131	2.4893159278600247e-09	ZNF33B	3.9022440884554e-15	NCMAP-DT	9.797432274242739e-08	LAT2	0.0006750692621605952	THAP4	1.6613939795511533e-10	AC007032.1	2.335291454202999e-24	ASGR1	8.93936726991196e-14	TLCD2	0.0013463725657799428	IGSF6	0.0036653201066681037	ASH2L	0.00011366170783013432
CASTOR2	3.7160837522826396e-07	ANO10	8.191833292139869e-08	CXCR5	1.5434630580219944e-09	LILRA2	1.1358188318576706e-06	CLMN	1.8137667070355212e-50	LDB2	2.5718917192884713e-09	NHEJ1	0.003791276641450702	KIAA0930	7.495614635758155e-15	CDK5RAP3	1.8040891620546252e-29	MAP3K12	2.51112309216357e-09	PRPF19	3.951799918470349e-15	AP5S1	9.805681105888264e-08	AC006230.1	0.0006758748390120405	NSL1	1.6632094213109279e-10	GMPPA	2.5079445769091896e-24	NELL2	9.300186822880218e-14	AC098829.1	0.0013749944227336624	CBWD2	0.0036758571306108366	PAXIP1	0.00011434369562422685
LINC02156	3.718011370505091e-07	LINGO2	8.249683760262517e-08	KIAA0930	1.547632925718694e-09	NME9	1.1520169466803616e-06	AF165147.1	1.8856289569288103e-50	AC106707.1	2.6051753697506325e-09	AC073896.2	0.003813171148361513	SIRPA	7.681860539359651e-15	LNX2	1.8275366803028118e-29	C1orf122	2.535325883460195e-09	GPR137	4.024989008069538e-15	AL031846.2	9.980467640190316e-08	DPY19L3	0.0006856117219638751	NTHL1	1.74503675952474e-10	AC244197.2	2.5758994565504435e-24	AL162497.1	9.499332289623082e-14	LACTB	0.0014161940541631303	ANO9	0.003691714314640291	METTL25	0.00011457188126385597
EGR3	3.768469514801284e-07	AC093865.1	8.470762417125763e-08	NPRL2	1.561260960224629e-09	ZNF134	1.1938280528859912e-06	NAPB	1.9537147016022004e-50	GPAT3	2.73084242833983e-09	MANBAL	0.003821961074190404	PDZD2	7.950278014390632e-15	KIF27	1.8780346705442713e-29	NTHL1	2.6505395945371335e-09	ALG2	4.062082366414746e-15	LRRC57	1.0818641891057267e-07	HIP1	0.0007362819724473272	LNX2	1.762252312659699e-10	MYCBP	2.8410412225875466e-24	AC106798.1	9.896303359527779e-14	SCPEP1	0.0014208413735063632	AC093535.1	0.0037557668817185547	JAM3	0.0001150295416191182
C3orf33	3.790015559909474e-07	DEGS2	8.547323865543313e-08	CCL3L1	1.5771309705749314e-09	PLAUR	1.312584948858517e-06	FAM153A	2.445509842567088e-50	GK	2.7720512652639508e-09	ABHD14A	0.0038425425418647935	RALGPS1	8.16363041137848e-15	PLSCR1	1.8915521763437017e-29	LINC00476	2.6924081482948565e-09	BTBD9	4.146777337136433e-15	MRI1	1.2174373339420616e-07	TAOK1	0.0007371552130829708	GTF2H4	1.801105353388193e-10	SAC3D1	3.161182180702204e-24	UBA6-AS1	1.0193898947404357e-13	SNTB2	0.0014509187019155912	FANK1	0.0037854605124095224	LIN54	0.00011595003978207916
PFKM	3.903581087027788e-07	AP001437.1	8.590683678729018e-08	ZNF473	1.5888687837428352e-09	BAG3	1.3192575915093444e-06	CLOCK	2.470392719889413e-50	AC068633.1	2.8158718261772243e-09	CORO7	0.0038602638898665455	AC020908.3	8.227921113594526e-15	CAPG	1.894267240549533e-29	DCTD	2.787768415481343e-09	DNAJC16	4.3711989010369276e-15	IL24	1.252510126152663e-07	CLEC4A	0.0007380294155929679	TMEM42	1.807005033665362e-10	DCP1B	3.30489315153859e-24	CTNNBIP1	1.0222695911801795e-13	IL15	0.001465218502331501	AC020656.1	0.0038785946416233	ZNF844	0.00011641288971841159
UCK1	3.9340082860401094e-07	AP000787.1	8.614864411638028e-08	AL031428.1	1.6256900947148674e-09	PLET1	1.3607492999042339e-06	CRIM1	2.5920720962124855e-50	PTX3	2.86036667214079e-09	TPRG1	0.003888474583514545	AL157938.3	8.23599240568542e-15	LYRM2	2.017637152561546e-29	BAD	2.787768415481343e-09	APBA2	4.719616043428683e-15	AL136040.2	1.275723084793824e-07	TOPBP1	0.0007450577792992442	CD247	1.8208444770181989e-10	PPM1M	3.328479875143954e-24	AGPS	1.1370256077206458e-13	MDP1	0.0014671349248697014	TNFSF13	0.003900808881585163	PLXNA4	0.00011641288971841159
AL117379.1	3.9646642830087417e-07	SLC7A7	8.845408118712293e-08	HFE	1.6344740432867764e-09	ABTB2	1.4153745911757368e-06	ZNF561	2.841614516413573e-50	UBE3B	2.870574215307811e-09	CTDSP2	0.003888474583514545	NDC1	8.481788023215252e-15	DUSP12	2.049705377097558e-29	TMEM220	2.883907599963923e-09	LACTB2-AS1	4.768454017177152e-15	GLI4	1.372806916243587e-07	CERNA1	0.0007525934909937147	IFFO1	1.8468215698481004e-10	PPIL1	3.352233335146582e-24	WEE1	1.2590978930982374e-13	MIR4458HG	0.0014791649940542545	C5orf51	0.003948398305310152	AP5B1	0.00011641288971841159
TLR6	3.997618062059293e-07	NAALADL2	8.920235196995548e-08	AC007541.1	1.6455190391143836e-09	VAMP3	1.671510146489448e-06	MRTFB	2.841614516413573e-50	SLCO4C1	2.9096873684887338e-09	SYCE1L	0.00389443748703387	AC127526.2	8.523449958326907e-15	MRPL1	2.1032750776117976e-29	HDDC3	2.911602485677072e-09	CMAS	4.812282986452204e-15	TNFSF13B	1.4648027066755566e-07	UTP6	0.0007539306471656499	FAM98C	1.931143505999254e-10	UROS	3.3641729557159935e-24	CD8B	1.3059409536039392e-13	SRGAP2	0.0015059517593410462	AC018462.1	0.00395121403419788	LAS1L	0.0001175776492816547
AC002429.2	4.058021649551707e-07	ASL	8.985580752615113e-08	MAP3K10	1.6611043086906845e-09	JPT2	1.7663840211461918e-06	EOMES	3.0475482131139474e-50	GLB1	2.9200662535314175e-09	SUGP1	0.0039019027960138916	PRKCG	8.666612617735322e-15	CCDC62	2.1123374479051083e-29	KIF27	2.9141330061298102e-09	FAM13A	4.856508480196245e-15	AGPAT2	1.627485279448461e-07	AP003086.1	0.0007557169539780594	ZNF295-AS1	2.0148366165838438e-10	LYPLA2	3.605598930789863e-24	CRTC3-AS1	1.350698361178357e-13	CYP27A1	0.0015669721534098803	SORBS2	0.00395121403419788	MCM6	0.00011781191612940561
NAALADL2	4.0685246795684047e-07	C19orf38	9.031091219461367e-08	LINC01505	1.6627826660224764e-09	LINC02614	1.7718037737473342e-06	FGFR1OP	3.646569008063528e-50	RNF43	2.930481184913898e-09	AC147067.1	0.003924376777783147	CTIF	8.794896095530601e-15	CHROMR	2.1275275787289539e-29	LRRC14	2.9459457747435397e-09	SSH2	4.8620647229355304e-15	LIM2	1.6519114868029819e-07	GIT2	0.0007706046450767423	CBR3	2.05241759485713e-10	LINC01524	3.67674358881555e-24	SLC11A1	1.4326785753435035e-13	BOLA2	0.0016218296598526733	NCALD	0.004025066024342138	AKAP6	0.00011875339228380514
DOCK8-AS1	4.279758352346734e-07	IGSF1	9.277607907118864e-08	AL035071.2	1.665583601201242e-09	NPIPB12	1.775261023696866e-06	ATP6V0A2	3.721018409451291e-50	MTMR11	2.9831008077554006e-09	ZNF273	0.003928885657002551	BNIPL	8.820776137137815e-15	C2CD2	2.2986495509174661e-29	KIN	2.9910523941283737e-09	LRRC14	4.889939941067487e-15	DYNLRB2	1.678079173951849e-07	RCOR3	0.0007706046450767423	LIN7C	2.2025277548696784e-10	LTA	3.809678150000168e-24	AC127035.1	1.4900282085538537e-13	PTPRJ	0.0016218296598526733	MYD88	0.004036538438061568	CD40	0.00011922678644250986
LINGO1	4.299679336922036e-07	AL513188.1	9.329779346879562e-08	CCNF	1.6847522644062763e-09	ABHD16A	1.892531471120916e-06	TENM1	4.403276683614663e-50	ZMYND12	2.9873498979752674e-09	LCOR	0.003936410911938822	EEF2K	9.137243719845284e-15	CRELD2	2.325136618986107e-29	ALG2	3.035513852713792e-09	COL18A1	5.101164126719859e-15	AGTRAP	1.6864255990925347e-07	JCHAIN	0.0007899464572621592	RPL26L1	2.3076703633458325e-10	INO80E	3.867606833127461e-24	RELT	1.5825199992920058e-13	VAMP3	0.0016344931547018651	SNHG31	0.004053802721001894	SREBF1	0.00011970195959849479
PLXNB2	4.319689764241057e-07	TBXAS1	9.429688641942734e-08	AL353660.1	1.700127419867863e-09	ALDH6A1	1.9126094783802674e-06	AC024560.5	4.642966853665926e-50	DAB2	3.0108254457580063e-09	MTHFD2L	0.003977273950674997	RASGRF2	9.308746316406736e-15	METTL8	2.402985749319394e-29	LINC01278	3.0752784665379027e-09	CRYZL1	5.195262596296528e-15	ACYP1	1.7359189168709543e-07	JAK2	0.000796023922820529	COQ10A	2.3454890119113284e-10	ABCF3	3.8779197324226935e-24	HPS6	1.7138670762855264e-13	PHPT1	0.0016483145805995451	LINGO1	0.004076926022448765	ZC3H3	0.00011994021524723014
FAM111A-DT	4.610632547377434e-07	CDCA4	9.530633312125946e-08	NETO2	1.7307069163165662e-09	DUSP6	1.978463031325331e-06	LINGO2	5.063130259246539e-50	AC005387.2	3.0172589805544343e-09	NUCB1	0.003990980317512888	ZWILCH	9.363560282452428e-15	ELF4	2.4551447128402536e-29	LPAR2	3.0940084204910088e-09	RPL26L1	5.2789989885142635e-15	PAX5	1.782396732860092e-07	ADAT2	0.0007964932129815415	HDAC11	2.353125059211259e-10	IPO13	4.126439325035005e-24	PLAUR	1.7258870670613716e-13	MTFR1L	0.0017135102372962895	LINC02341	0.004114756815692366	FBF1	0.000120657667850881
ATAD3A	5.013490914015707e-07	ENDOV	9.552017722958188e-08	AL596214.1	1.7324537660246866e-09	ADHFE1	2.009415192394247e-06	METTL7A	5.105885778052111e-50	OPHN1	3.019406465249129e-09	CATSPERE	0.004012386592177429	FEZ1	9.511288539473986e-15	INTS13	2.5738819839360655e-29	ARL3	3.156335040509753e-09	RSAD1	5.481670156303309e-15	ZNF85	1.8543764624658948e-07	AC079921.1	0.0008012002572265147	APOM	2.353125059211259e-10	XPOT	4.336559968995609e-24	UBE3B	1.8481537003557935e-13	HLA-DMB	0.0017168314494954288	FLCN	0.004129391742405667	TMEM260	0.00012089771654924776
MARCKS	5.079509138851372e-07	JAZF1-AS1	9.686726419550033e-08	N4BP1	1.7588635970398841e-09	FOLR3	2.0306827879549816e-06	MMUT	5.433649188527348e-50	ADAP1	3.032322661052573e-09	ASTL	0.004020056916206664	PRAM1	1.0017210445295649e-14	AL163973.2	2.709918988097006e-29	DLGAP4	3.247900147233138e-09	CREG1	5.566771466460298e-15	PSMG3-AS1	1.9571465781789038e-07	USP32	0.0008026173963787201	DEAF1	2.3697532242380404e-10	SRF	4.445560187124737e-24	C12orf60	1.9218001248653643e-13	ACSL4	0.0017391245945360392	CHST7	0.004152905890960599	TTC21A	0.00012186242146126799
WDR81	5.150324335652535e-07	AC243829.4	9.703014513190593e-08	STK3	1.7635995706813128e-09	KIF26B	2.0385725882443766e-06	C5orf24	5.55371390708321e-50	PPCDC	3.051797883936401e-09	MDP1	0.004033897052346342	CRYBG3	1.0017210445295649e-14	FKBP4	2.764728201238882e-29	SNAP47	3.3536404869330375e-09	MDP1	5.569948216859591e-15	ZNF48	2.068806822903447e-07	RALGPS1	0.000814517668465203	MKRN2	2.47865568962116e-10	MAPKAPK3	4.646995065210389e-24	QSOX1	1.9244829965105563e-13	SLC15A3	0.0017447393174282232	CCDC71	0.004170621155782242	AL136962.1	0.00012186242146126799
PTK2B	5.240854107525054e-07	AC023510.1	9.928293108862902e-08	CACNA1D	1.7731088248354896e-09	PRDM1	2.123800358030599e-06	IRGQ	5.676419530840454e-50	PRC1	3.071394875698506e-09	SQOR	0.0040454635249121546	PCGF3	1.0125484840389641e-14	MAGI2	2.9024584724026063e-29	TMEM182	3.3769400631889595e-09	RNF141	5.8499302556362754e-15	TMEM60	2.2037036835739824e-07	KLHL15	0.000834389084463396	HDDC3	2.47865568962116e-10	ACYP1	4.7049992785360576e-24	ELMO1-AS1	1.940657669964556e-13	DOT1L	0.0017822164822456805	OMD	0.004176541461937551	MTHFD1L	0.00012283438048381483
BRPF3	5.248915289480876e-07	JAKMIP2	1.0096330121258172e-07	LINC01176	1.7743009887886052e-09	AC005306.1	2.1941938902605564e-06	AC009093.2	6.406534244624386e-50	AL391839.1	3.194978572701769e-09	HIST1H2BF	0.004052417850463175	AC008467.1	1.0135384885428205e-14	ECHDC1	2.9024584724026063e-29	ZBED5-AS1	3.4299417823785495e-09	MMAB	5.890083023872928e-15	PDRG1	2.3955409973131246e-07	ATG10	0.0008422650531498688	MRPS31	2.571506433650893e-10	CCDC28B	5.1406989622889314e-24	AC018362.1	1.976162345486614e-13	GDE1	0.0018906398397627272	SMN1	0.00421819754017639	RBM10	0.00012283438048381483
TNFSF13B	5.398839927029605e-07	RBP7	1.0499191313338326e-07	TTYH3	1.7934821711558991e-09	LDB2	2.2907023225456448e-06	DAGLB	8.104379659628872e-50	SYT5	3.2029323653917274e-09	ACAT1	0.004078787786220647	NLK	1.0436856268785243e-14	TMEM127	2.9653659652076286e-29	PLP2	3.465725255704223e-09	YTHDF1	6.053424729037593e-15	SMARCAL1	2.4073143231635364e-07	SH3BP2	0.0008719074802863916	COG2	2.5966478110006936e-10	TIGD1	5.14980867354027e-24	CSF2RB	1.9899872481224806e-13	TEX14	0.0018942752946324104	SLC31A2	0.004227172725593563	IGLC2	0.00012307850964311058
LILRA1	5.404368803655006e-07	CREB5	1.1098709016208265e-07	UVSSA	1.803148380854106e-09	TMEM120B	2.3071782926489345e-06	PRKCG	8.784147219468554e-50	THBS1	3.2998945504672984e-09	SHF	0.004111577387904014	PSMD5	1.0959033427655023e-14	MED16	3.0557153566544823e-29	PRDX4	3.4943113369936554e-09	PLEKHF1	6.178849296556669e-15	FAM86C1	2.5219848628942106e-07	DAPP1	0.0008951631563391594	NIP7	2.6333874399351024e-10	TMEM205	5.168076091516505e-24	MAP3K10	1.9955437750017404e-13	INKA2	0.0019211321051006327	CMTM1	0.0042331658017247704	EVI5	0.00012332309615659646
ABHD16A	5.432095176500923e-07	MYO6	1.1101803737564385e-07	LINC01560	1.8092155198699163e-09	NDUFC2	2.314820907452601e-06	TRIM35	8.798896677127597e-50	AP001318.2	3.3541977562752775e-09	C4orf48	0.004113144747608316	ACTR5	1.1185937724761755e-14	SUCLA2	3.226202351355904e-29	SCRN3	3.498845861069001e-09	AL392172.1	6.357303271612519e-15	ARSA	2.5928784876820776e-07	ALG13-AS1	0.0009025146907109591	RNF123	2.654813800983582e-10	FUOM	6.943090384146422e-24	AC020908.3	2.1877104513944331e-13	MIR181A1HG	0.0019608211154095753	SMIM25	0.004254202305935345	TMEM184C	0.00012405960781452878
IBA57	5.521744263749665e-07	ATP6V1C2	1.110799568571956e-07	AC021054.1	1.8460382615600633e-09	BPGM	2.3263304242660203e-06	TLR2	9.20658726155177e-50	PPIL6	3.3589606780182844e-09	PGAM5	0.004149343996266105	RPS10-NUDT3	1.145092116272655e-14	TSBP1-AS1	3.2308140404608187e-29	AL035587.2	3.498845861069001e-09	RCC1L	6.615689380147597e-15	ZNF12	2.614093319672006e-07	DIAPH2	0.0009093911810218623	MRPS27	2.7201195286685857e-10	GPR137	7.054282228732135e-24	AL353801.3	2.2338577241904612e-13	COMMD9	0.001962073439751674	RECQL5	0.00433929972775856	CGAS	0.00012430603174350756
TBL2	5.722851877852538e-07	SUSD1	1.1126591589383555e-07	PCNA	1.854734738720384e-09	PDE4B	2.4270722581177223e-06	MAN2C1	9.763183821058688e-50	CPVL	3.3685062829884108e-09	HADH	0.0041548778475096115	KDM1B	1.1462095164489533e-14	SNX8	3.314951913101621e-29	MMAB	3.656474447161479e-09	TOLLIP	6.623221735508135e-15	BYSL	2.6226261134836815e-07	AKT2	0.0009163161998742384	GPATCH11	2.895782875591519e-10	PIDD1	8.13777591176566e-24	KATNB1	2.2494516188284077e-13	OCEL1	0.002010209357082015	STARD7	0.004342367265950757	HSH2D	0.00012529634911549002
